,start_station_name,end_station_name,value
0,11 St & Washington St,11 St & Washington St,1132
1,11 St & Washington St,12 Ave & W 40 St,1
2,11 St & Washington St,12 St & Sinatra Dr N,253
3,11 St & Washington St,14 St Ferry - 14 St & Shipyard Ln,395
4,11 St & Washington St,4 St & Grand St,350
5,11 St & Washington St,6 St & Grand St,314
6,11 St & Washington St,7 St & Monroe St,242
7,11 St & Washington St,8 St & Washington St,425
8,11 St & Washington St,9 St HBLR - Jackson St & 8 St,489
9,11 St & Washington St,Adams St & 11 St,315
10,11 St & Washington St,Adams St & 2 St,384
11,11 St & Washington St,Astor Place,1
12,11 St & Washington St,Baldwin at Montgomery,8
13,11 St & Washington St,Bergen Ave & Sip Ave,8
14,11 St & Washington St,Bergen Ave & Stegman St,1
15,11 St & Washington St,Bloomfield St & 15 St,221
16,11 St & Washington St,Broadway & W 51 St,1
17,11 St & Washington St,Broadway\t& W 48 St,3
18,11 St & Washington St,Brunswick & 6th,32
19,11 St & Washington St,Brunswick St,8
20,11 St & Washington St,Christ Hospital,14
21,11 St & Washington St,Church Sq Park - 5 St & Park Ave,553
22,11 St & Washington St,City Hall,19
23,11 St & Washington St,City Hall - Washington St & 1 St,1399
24,11 St & Washington St,Clinton St & 7 St,275
25,11 St & Washington St,Clinton St & Newark St,531
26,11 St & Washington St,Columbus Dr at Exchange Pl,39
27,11 St & Washington St,Columbus Drive,25
28,11 St & Washington St,Columbus Park - Clinton St & 9 St,246
29,11 St & Washington St,Communipaw & Berry Lane,3
30,11 St & Washington St,Dixon Mills,9
31,11 St & Washington St,E 30 St & Park Ave S,1
32,11 St & Washington St,E 47 St & Park Ave,4
33,11 St & Washington St,E 48 St & 5 Ave,1
34,11 St & Washington St,E 50 St & Park Ave,2
35,11 St & Washington St,E 51 St & 2 Ave,1
36,11 St & Washington St,Essex Light Rail,7
37,11 St & Washington St,Fairmount Ave,2
38,11 St & Washington St,Fulton St & William St,1
39,11 St & Washington St,Glenwood Ave,1
40,11 St & Washington St,Grand St,31
41,11 St & Washington St,Grand St & 14 St,214
42,11 St & Washington St,Grove St PATH,25
43,11 St & Washington St,Hamilton Park,50
44,11 St & Washington St,Harborside,59
45,11 St & Washington St,Heights Elevator,45
46,11 St & Washington St,Hilltop,14
47,11 St & Washington St,Hoboken Ave at Monmouth St,175
48,11 St & Washington St,Hoboken Terminal - Hudson St & Hudson Pl,1213
49,11 St & Washington St,Hoboken Terminal - River St & Hudson Pl,1247
50,11 St & Washington St,Hudson St & 4 St,668
51,11 St & Washington St,JC Medical Center,17
52,11 St & Washington St,Jersey & 3rd,21
53,11 St & Washington St,Jersey & 6th St,22
54,11 St & Washington St,Journal Square,4
55,11 St & Washington St,Lafayette Park,9
56,11 St & Washington St,Leonard Gordon Park,17
57,11 St & Washington St,Lexington Ave & E 24 St,1
58,11 St & Washington St,Liberty Light Rail,16
59,11 St & Washington St,Lincoln Park,5
60,11 St & Washington St,Madison St & 1 St,271
61,11 St & Washington St,Madison St & 10 St,488
62,11 St & Washington St,Mama Johnson Field - 4 St & Jackson St,209
63,11 St & Washington St,Manila & 1st,21
64,11 St & Washington St,Marin Light Rail,35
65,11 St & Washington St,Marshall St & 2 St,270
66,11 St & Washington St,McGinley Square,1
67,11 St & Washington St,Monmouth and 6th,17
68,11 St & Washington St,Montgomery St,31
69,11 St & Washington St,Morris Canal,8
70,11 St & Washington St,Murray St & Greenwich St,1
71,11 St & Washington St,N Moore St & Hudson St,1
72,11 St & Washington St,Newark Ave,26
73,11 St & Washington St,Newport PATH,97
74,11 St & Washington St,Newport Pkwy,141
75,11 St & Washington St,North Moore St & Greenwich St,1
76,11 St & Washington St,Oakland Ave,20
77,11 St & Washington St,Paulus Hook,8
78,11 St & Washington St,Pershing Field,12
79,11 St & Washington St,Riverview Park,40
80,11 St & Washington St,Shop Morgan,1
81,11 St & Washington St,Sip Ave,5
82,11 St & Washington St,South Waterfront Walkway - Sinatra Dr & 1 St,1391
83,11 St & Washington St,Southwest Park - Jackson St & Observer Hwy,150
84,11 St & Washington St,Stevens - River Ter & 6 St,247
85,11 St & Washington St,Union St,1
86,11 St & Washington St,Van Vorst Park,19
87,11 St & Washington St,Vesey Pl & River Terrace,1
88,11 St & Washington St,W 44 St & 5 Ave,1
89,11 St & Washington St,Warren St,78
90,11 St & Washington St,Washington St,83
91,11 St & Washington St,Water St &  Fletcher St,2
92,11 St & Washington St,West St & Chambers St,1
93,11 St & Washington St,Willow Ave & 12 St,212
94,11 St & Washington St,York St & Marin Blvd,1
95,12 St & Sinatra Dr N,11 St & Washington St,389
96,12 St & Sinatra Dr N,12 Ave & W 40 St,1
97,12 St & Sinatra Dr N,12 St & Sinatra Dr N,2952
98,12 St & Sinatra Dr N,14 St Ferry - 14 St & Shipyard Ln,481
99,12 St & Sinatra Dr N,4 St & Grand St,259
100,12 St & Sinatra Dr N,5 Ave & E 29 St,1
101,12 St & Sinatra Dr N,5 Corners Library,3
102,12 St & Sinatra Dr N,6 St & Grand St,166
103,12 St & Sinatra Dr N,7 St & Monroe St,170
104,12 St & Sinatra Dr N,8 St & Washington St,503
105,12 St & Sinatra Dr N,9 St HBLR - Jackson St & 8 St,307
106,12 St & Sinatra Dr N,Adams St & 11 St,145
107,12 St & Sinatra Dr N,Adams St & 2 St,232
108,12 St & Sinatra Dr N,Baldwin at Montgomery,7
109,12 St & Sinatra Dr N,Bergen Ave,1
110,12 St & Sinatra Dr N,Bloomfield St & 15 St,245
111,12 St & Sinatra Dr N,Broadway & Battery Pl,2
112,12 St & Sinatra Dr N,Broadway\t& W 48 St,1
113,12 St & Sinatra Dr N,Brunswick & 6th,10
114,12 St & Sinatra Dr N,Brunswick St,13
115,12 St & Sinatra Dr N,Bus Slip & State St,2
116,12 St & Sinatra Dr N,Carmine St & 6 Ave,1
117,12 St & Sinatra Dr N,Christ Hospital,5
118,12 St & Sinatra Dr N,Christopher St & Greenwich St,3
119,12 St & Sinatra Dr N,Church Sq Park - 5 St & Park Ave,297
120,12 St & Sinatra Dr N,City Hall,13
121,12 St & Sinatra Dr N,City Hall - Washington St & 1 St,543
122,12 St & Sinatra Dr N,Clinton St & 7 St,194
123,12 St & Sinatra Dr N,Clinton St & Newark St,238
124,12 St & Sinatra Dr N,Columbus Dr at Exchange Pl,66
125,12 St & Sinatra Dr N,Columbus Drive,58
126,12 St & Sinatra Dr N,Columbus Park - Clinton St & 9 St,190
127,12 St & Sinatra Dr N,Communipaw & Berry Lane,2
128,12 St & Sinatra Dr N,Dixon Mills,4
